sheet,period,chain,co_owned,state,empft,emppt,wage_st,fte,dfte,gap,dw
1,1,1,0,1,16,30,4.5,31,9,0.122222,0.55
1,2,1,0,1,20,40,5.05,40,9,0.122222,0.55
2,1,1,0,1,10,6,4.75,13,-0.5,0.063158,0.5
2,2,1,0,1,7.5,10,5.25,12.5,-0.5,0.063158,0.5
3,1,2,0,1,6,13,4.25,12.5,-5,0.188235,0.8
3,2,2,0,1,4,7,5.05,7.5,-5,0.188235,0.8
4,1,3,0,1,10,12,4.75,16,4,0.063158,0.3
4,2,3,0,1,5,30,5.05,20,4,0.063158,0.3
5,1,3,0,1,5,30,4.5,20,5,0.122222,0.65
5,2,3,0,1,10,30,5.15,25,5,0.122222,0.65
6,1,3,1,1,2,2,5,3,3,0.01,0.05
6,2,3,1,1,5,2,5.05,6,3,0.01,0.05
9,1,1,0,1,12,40,4.37,32,-16,0.155606,0.68
9,2,1,0,1,0,32,5.05,16,-16,0.155606,0.68
10,1,1,0,1,15,20,4.25,25,-2.5,0.188235,0.8
10,2,1,0,1,15,15,5.05,22.5,-2.5,0.188235,0.8
11,1,1,0,1,10,30,4.25,25,-1,0.188235,0.8
11,2,1,0,1,12,24,5.05,24,-1,0.188235,0.8
12,1,1,0,1,6.5,23.5,4.37,18.25,4.25,0.155606,0.68
12,2,1,0,1,15,15,5.05,22.5,4.25,0.155606,0.68
13,1,2,0,1,0,25,4.5,12.5,-5,0.122222,0.5
13,2,2,0,1,2,11,5,7.5,-5,0.122222,0.5
14,1,2,0,1,10,8,5.12,14,-1.5,0,-0.07
14,2,2,0,1,4,17,5.05,12.5,-1.5,0,-0.07
15,1,3,0,1,3,25,4.6,15.5,-0.5,0.097826,0.45
15,2,3,0,1,5,20,5.05,15,-0.5,0.097826,0.45
16,1,3,0,1,6,22,4.5,17,-1.5,0.122222,0.55
16,2,3,0,1,7,17,5.05,15.5,-1.5,0.122222,0.55
17,1,3,0,1,0,20,4.37,10,11.5,0.155606,0.68
17,2,3,0,1,4,35,5.05,21.5,11.5,0.155606,0.68
18,1,3,0,1,15,25,4.25,27.5,-0.5,0.188235,0.8
18,2,3,0,1,8,38,5.05,27,-0.5,0.188235,0.8
19,1,1,0,1,4,31,4.25,19.5,8.5,0.188235,0.8
19,2,1,0,1,6,44,5.05,28,8.5,0.188235,0.8
21,1,2,0,1,5,12,4.45,11,-5.5,0.134832,0.6
21,2,2,0,1,0,11,5.05,5.5,-5.5,0.134832,0.6
22,1,3,0,1,3,15,4.35,10.5,0,0.16092,0.7
22,2,3,0,1,3,15,5.05,10.5,0,0.16092,0.7
23,1,1,0,1,0,25,4.5,12.5,8.5,0.122222,0.55
23,2,1,0,1,14,14,5.05,21,8.5,0.122222,0.55
24,1,1,0,1,15,15,4.75,22.5,2.5,0.063158,0.3
24,2,1,0,1,15,20,5.05,25,2.5,0.063158,0.3
26,1,1,0,1,30,15,5.56,37.5,-17.5,0,-0.51
26,2,1,0,1,10,20,5.05,20,-17.5,0,-0.51
27,1,2,1,1,4,10,5,9,-5.5,0.01,0.05
27,2,2,1,1,0,7,5.05,3.5,-5.5,0.01,0.05
29,1,2,0,1,0,7,4.5,3.5,3,0.122222,0.55
29,2,2,0,1,0,13,5.05,6.5,3,0.122222,0.55
30,1,2,0,1,6,4,5,8,-2.5,0.01,0.05
30,2,2,0,1,4,3,5.05,5.5,-2.5,0.01,0.05
31,1,2,0,1,4,16,5.25,12,1.5,0,-0.2
31,2,2,0,1,6,15,5.05,13.5,1.5,0,-0.2
32,1,3,0,1,10,20.5,4.5,20.25,-5.75,0.122222,0.55
32,2,3,0,1,2,25,5.05,14.5,-5.75,0.122222,0.55
33,1,3,0,1,12,20,5,22,-10.5,0.01,0.05
33,2,3,0,1,6,11,5.05,11.5,-10.5,0.01,0.05
34,1,3,1,1,5,15,4.95,12.5,2,0.020202,0.1
34,2,3,1,1,11,7,5.05,14.5,2,0.020202,0.1
35,1,4,0,1,25,6.5,4.5,28.25,-6.25,0.122222,0.55
35,2,4,0,1,13,18,5.05,22,-6.25,0.122222,0.55
36,1,4,0,1,8,12,5.5,14,13.5,0,-0.45
36,2,4,0,1,10,35,5.05,27.5,13.5,0,-0.45
37,1,1,0,0,21,9,4.25,25.5,-7,0,0
37,2,1,0,0,6,25,4.25,18.5,-7,0,0
38,1,1,0,1,15,20,4.25,25,-5,0.188235,0.8
38,2,1,0,1,10,20,5.05,20,-5,0.188235,0.8
40,1,1,0,0,10,20,4.25,20,-0.5,0,0
40,2,1,0,0,7,25,4.25,19.5,-0.5,0,0
41,1,1,0,0,0,27,4.25,13.5,7.5,0,0
41,2,1,0,0,0,42,4.25,21,7.5,0,0
42,1,1,0,0,17,4,4.5,19,-8,0,-0.25
42,2,1,0,0,0,22,4.25,11,-8,0,-0.25
45,1,1,0,0,0,24,4.25,12,5,0,0
45,2,1,0,0,11,12,4.25,17,5,0,0
48,1,1,0,0,6,20,4.25,16,4,0,0.13
48,2,1,0,0,7.5,25,4.38,20,4,0,0.13
50,1,2,0,0,6,10,4.5,11,3,0,0.25
50,2,2,0,0,4,20,4.75,14,3,0,0.25
51,1,2,0,0,0,15,4.25,7.5,6,0,0
51,2,2,0,0,6,15,4.25,13.5,6,0,0
56,1,4,1,0,20,20,5,30,-12,0,0.25
56,2,4,1,0,0,36,5.25,18,-12,0,0.25
57,1,4,1,0,30,10,4.67,35,-19,0,-0.17
57,2,4,1,0,7,18,4.5,16,-19,0,-0.17
58,1,4,1,0,8,25,4.75,20.5,-6.5,0,-0.25
58,2,4,1,0,0,28,4.5,14,-6.5,0,-0.25
59,1,4,0,0,0,15,4.25,7.5,0.5,0,0
59,2,4,0,0,0,16,4.25,8,0.5,0,0
60,1,4,0,0,10,20,4.25,20,0,0,0
60,2,4,0,0,10,20,4.25,20,0,0,0
61,1,4,1,0,6,26,5.5,19,10.5,0,-0.75
61,2,4,1,0,28,3,4.75,29.5,10.5,0,-0.75
64,1,1,0,1,20,15,4.5,27.5,-8,0.122222,0.55
64,2,1,0,1,13,13,5.05,19.5,-8,0.122222,0.55
66,1,1,0,1,15,18,4.25,24,7,0.188235,0.8
66,2,1,0,1,26,10,5.05,31,7,0.188235,0.8
67,1,1,0,1,5,15,4.5,12.5,0.25,0.122222,0.55
67,2,1,0,1,4,17.5,5.05,12.75,0.25,0.122222,0.55
68,1,1,0,1,30,10,4.25,35,-13.5,0.188235,0.8
68,2,1,0,1,13,17,5.05,21.5,-13.5,0.188235,0.8
69,1,1,0,1,0,27,4.25,13.5,0,0.188235,0.8
